,,,,,,,,,,,,
DANH SÁCH BỆNH THEO DANH MỤC ICD,,,,,,,,,,,,
Ngày 19 tháng 08 năm 2021,,,,,,,,,,,,
,,,,,,,,,,,,
STT,Mã,Tên bệnh ,Nhóm bệnh,Mãn tính,Bệnh của,Thường gập,Bệnh năm,Không BH,Ngoài DS,Chuyên khoa,Mô tả,Hiệu lực
25,F12.8,Rối loạn tâm thần và hành vi do sử dụng cần sa (Rối loạn tâm thần và hành vi khác),Rối loạn tâm thần và hành vi do sử dụng chất tác động tâm thần,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
26,F12.9,Rối loạn tâm thần và hành vi do sử dụng cần sa (Rối loạn tâm thần và hành vi không biệt định),Rối loạn tâm thần và hành vi do sử dụng chất tác động tâm thần,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
27,F13,Rối loạn tâm thần và hành vi do sử dụng các chất an dịu hoặc các thuốc ngủ,Rối loạn tâm thần và hành vi do sử dụng chất tác động tâm thần,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
28,F13.0,Rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ (Nhiễm độc cấp),Rối loạn tâm thần và hành vi do sử dụng chất tác động tâm thần,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
29,F13.1,Rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ (Sử dụng gây hại),Rối loạn tâm thần và hành vi do sử dụng chất tác động tâm thần,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
30,F13.2,Rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ (Hội chứng nghiện),Rối loạn tâm thần và hành vi do sử dụng chất tác động tâm thần,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
31,T08,"Gãy cột sống, mức độ chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
32,T08.0,"Gãy cột sống, mức độ chưa xác định, gãy kín","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
33,T08.1,"Gãy cột sống, mức độ chưa xác định, gãy hở","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
34,T09,"Tổn thương khác của cột sống và thân, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
35,T09.0,"Tổn thương nông tại thân, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
36,T09.1,"Vết thương hở tại thân, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
37,T09.2,"Sai khớp, bong gân và căng cơ của khớp chưa xác định và dây chằng của thân","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
38,T09.3,"Tổn thương cột sống, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
39,T09.4,"Tổn thương dây thần kinh chưa xác định, rễ dây thần kinh cột sống và tùng của thân","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
