,,,,,,,,,,,,
DANH SÁCH BỆNH THEO DANH MỤC ICD,,,,,,,,,,,,
Ngày 19 tháng 08 năm 2021,,,,,,,,,,,,
,,,,,,,,,,,,
STT,Mã,Tên bệnh ,Nhóm bệnh,Mãn tính,Bệnh của,Thường gập,Bệnh năm,Không BH,Ngoài DS,Chuyên khoa,Mô tả,Hiệu lực
5564,E35*,Rối loạn tuyến nội tiết trong các bệnh đã được phân loại ở phần khác,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5565,E35.0*,Rối loạn tuyến giáp trong các bệnh đã được phân loại ở phần khác,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5566,E35.1*,Rối loạn tuyến thượng thận trong các bệnh đã được phân loại ở phần khác,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5567,E35.8*,Rối loạn của các tuyến nội tiết khác trong các bệnh đã được phân loại ở phần khác,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5568,E40,Kwashiorkor,Suy dinh dưỡng,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5569,E41,Suy dinh dưỡng thể marasmus,Suy dinh dưỡng,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5570,E42,Thể hỗn hợp Kwashiorkor-marasmus,Suy dinh dưỡng,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5571,E43,"Suy dinh dưỡng nặng do thiếu protein - năng lượng, không đặc hiệu",Suy dinh dưỡng,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5572,F42.1,Các hành vi nghi thức chiếm ưu thế [các nghi thức ám ảnh],Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5573,F42.2,Các ý tưởng và các hành vi ám ảnh hỗn hợp,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5574,F42.8,Rối loạn ám ảnh nghi thức khác,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5575,F42.9,"Rối loạn ám ảnh nghi thức, không biệt định",Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5576,F43,Phản ứng với stress trầm trọng và rối loạn sự thích ứng,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5577,F43.0,Phản ứng stress cấp,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5578,F43.1,Rối loạn stress sau sang chấn,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5579,F43.2,các rối loạn sự thích ứng,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5580,F43.8,Phản ứng khác với stress trầm trọng,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5581,F43.9,"Phản ứng với stress trầm trọng, không đặc hiệu",Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5582,F44,Các rối loạn phân ly [chuyển di],Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5583,F44.0,Quên phân ly,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5584,F44.1,Trốn nhà phân ly,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5585,F44.2,Sững sờ phân ly,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5586,F44.3,Rối loạn lên đồng và bị xâm nhập,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5587,F44.4,Rối loạn vận động phân ly,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5588,F44.5,Co giật phân ly,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5589,F44.6,Tê và mất cảm giác phân ly,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5590,F44.7,Rối loạn phân ly [chuyển di] hỗn hợp,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5591,F44.8,Rối loạn phân ly [chuyển di] khác,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5592,F44.9,"Rối loạn phân ly [chuyển di], không biệt định",Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5593,F45,Rối loạn dạng cơ thể,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5594,J09,Cúm do virus đã được định danh,Cúm và viêm phổi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5595,J10,Cảm cúm do virus cúm được định danh khác,Cúm và viêm phổi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5596,J10.0,"Cảm cúm với viêm phổi, virus cúm được định danh khác",Cúm và viêm phổi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5597,J10.1,"Cảm cúm với biểu hiện hô hấp khác, virus cúm được định",Cúm và viêm phổi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5598,J10.8,"Cảm cúm với biểu hiện khác, virus cúm được định danh khác",Cúm và viêm phổi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5599,J11,"Cúm, virus không được định danh",Cúm và viêm phổi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5600,J11.0,"Cúm kèm viêm phổi, virus không được định danh",Cúm và viêm phổi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5601,J11.1,"Cúm với các biểu hiện hô hấp khác, virus không được định danh",Cúm và viêm phổi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5602,K41.1,"Thoát vị đùi hai bên, có hoại tử",Thoát vị,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5603,K41.2,"Thoát vị đùi hai bên, không tắc hay hoại tử",Thoát vị,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5604,K41.3,"Thoát vị đùi một bên hay không đặc hiệu, có tắc, không hoại tử",Thoát vị,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5605,K41.4,"Thoát vị đùi một bên hay không đặc hiệu, có hoại tử",Thoát vị,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5606,K41.9,"Thoát vị đùi một bên hay không đặc hiệu, không tắc hay hoại tử",Thoát vị,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5607,K42,Thoát vị rốn,Thoát vị,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5608,K42.0,"Thoát vị rốn có tắc, không hoại tử",Thoát vị,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5609,K42.1,Thoát vị rốn có hoại tử,Thoát vị,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5610,K42.9,"Thoát vị rốn, không tắc hay hoại tử",Thoát vị,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5611,K43,Thoát vị bụng,Thoát vị,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5612,K43.0,"Thoát vị qua đường mổ có tắc nghẽn, không hoại thư",Thoát vị,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5613,K43.1,Thoát vị qua đường mổ có hoại thư,Thoát vị,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5614,K43.2,Thoát vị qua đường mổ không tắc hoặc hoại thư,Thoát vị,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5615,M09.23*,"Viêm khớp trẻ em trong bệnh viêm loét đại tràng (K51.-†), cẳng tay ",Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5616,M09.24*,"Viêm khớp trẻ em trong bệnh viêm loét đại tràng (K51.-†),  bàn tay ",Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5617,M09.25*,"Viêm khớp trẻ em trong bệnh viêm loét đại tràng (K51.-†), vùng chậu và đùi ",Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5618,M09.26*,"Viêm khớp trẻ em trong bệnh viêm loét đại tràng (K51.-†), cẳng chân",Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5619,M09.27*,"Viêm khớp trẻ em trong bệnh viêm loét đại tràng (K51.-†), cổ, bàn chân",Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5620,M09.28*,"Viêm khớp trẻ em trong bệnh viêm loét đại tràng (K51.-†), vị trí khác",Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5621,M09.29*,"Viêm khớp trẻ em trong bệnh viêm loét đại tràng (K51.-†), vị trí không xác định",Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5622,M09.8*,Viêm khớp trẻ em trong các bệnh được xếp ở mục khác,Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5623,M09.80*,"Viêm khớp trẻ em trong các bệnh được xếp ở mục khác, Nhiều vị trí",Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5624,M09.81*,"Viêm khớp trẻ em trong các bệnh được xếp ở mục khác, vùng bả vai",Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5625,M09.82*,"Viêm khớp trẻ em trong các bệnh được xếp ở mục khác, cánh tay",Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5626,M09.83*,"Viêm khớp trẻ em trong các bệnh được xếp ở mục khác, cẳng tay ",Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5627,M09.84*,"Viêm khớp trẻ em trong các bệnh được xếp ở mục khác, bàn tay",Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5628,M09.85*,"Viêm khớp trẻ em trong các bệnh được xếp ở mục khác, vùng chậu và đùi ",Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5629,E29.1,Thiểu năng tinh hoàn,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5630,E29.8,Rối loạn chức năng tinh hoàn khác,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5631,E29.9,"Rối loạn chức năng tinh hoàn, không đặc hiệu",Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5632,E30,"Rối loạn lúc dậy thì, không phân loại ở phần khác",Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5633,E30.0,Dậy thì muộn,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5634,E30.1,Dậy thì sớm,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5635,E30.8,Rối loạn dậy thì khác,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5636,E30.9,"Rối loạn dậy thì, không đặc hiệu",Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5637,E31,Rối loạn chức năng đa tuyến,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5638,E31.0,Suy đa tuyến tự miễn,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5639,E31.1,Cường năng đa tuyến,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5640,E31.8,Rối loạn chức năng đa tuyến khác,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5641,E31.9,"Rối loạn chức năng đa tuyến, không đặc hiệu",Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5642,E32,Bệnh tuyến ức,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5643,E32.0,Tăng sản tuyến ức kéo dài,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5644,E32.1,Áp-xe tuyến ức,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5645,E32.8,Bệnh tuyến ức khác,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5646,E32.9,Bệnh tuyến ức không đặc hiệu,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5647,E34,Rối loạn nội tiết khác,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5648,E34.0,Hội chứng carcinoid,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5649,E34.1,Tăng tiết khác của hormon ruột,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5650,E34.2,"Tiết hormon lạc chỗ, chưa được phân loại ở phần khác",Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5651,E34.3,"Vóc dáng lùn, chưa được phân loại ở phần khác",Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5652,E34.4,Thể tạng cao,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5653,E34.5,Hội chứng kháng androgen,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5654,E34.8,Rối loạn nội tiết xác định khác,Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5655,E34.9,"Rối loạn nội tiết, không đặc hiệu",Rối loạn các tuyến nội tiết khác,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5656,G54,Bệnh rễ và đám rối thần kinh,"Bệnh dây, rễ và đám rối thần kinh",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5657,G54.0,Bệnh đám rối thần kinh cánh tay,"Bệnh dây, rễ và đám rối thần kinh",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5658,G54.1,Bệnh đám rối thắt lưng - cùng,"Bệnh dây, rễ và đám rối thần kinh",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5659,S75.2,Tổn thương tĩnh mạch hiển lớn tại tầm háng và đùi,Tổn thương tại háng và đùi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5660,S75.7,Tổn thương đa mạch máu tại tầm háng và đùi,Tổn thương tại háng và đùi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5661,S75.8,Tổn thương mạch máu khác tại tầm háng và đùi,Tổn thương tại háng và đùi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5662,S75.9,Tổn thương mạch máu chưa xác định tại tầm háng và đùi,Tổn thương tại háng và đùi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5663,S76,Tổn thương cơ bắp và gân tại tầm háng và đùi,Tổn thương tại háng và đùi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5664,S76.0,Tổn thương cơ và gân háng,Tổn thương tại háng và đùi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5665,S76.1,Tổn thương cơ tứ đầu và gân,Tổn thương tại háng và đùi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5666,S76.2,Tổn thương cơ khép và gân đùi,Tổn thương tại háng và đùi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5667,S76.3,Tổn thương cơ và gân của nhóm cơ sau tầm đùi,Tổn thương tại háng và đùi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5668,S76.4,Tổn thương cơ khác và chưa xác định và gân tầm đùi,Tổn thương tại háng và đùi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5669,S76.7,Tổn thương đa cơ và gân tầm háng và đùi,Tổn thương tại háng và đùi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5670,S77,Crushing injury of hip and thigh,Tổn thương tại háng và đùi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5671,S77.0,Crushing injury of hip,Tổn thương tại háng và đùi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5672,S77.1,Crushing injury of thigh,Tổn thương tại háng và đùi,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5673,L74.1,Rôm mụn nước,Các bệnh phần phụ của da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5674,L74.2,Rôm sâu,Các bệnh phần phụ của da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5675,L74.3,Rôm không điển hình,Các bệnh phần phụ của da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5676,L74.4,Không tiết mồ hôi,Các bệnh phần phụ của da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5677,L74.8,Các bệnh khác của tuyến mồ hôi,Các bệnh phần phụ của da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5678,L74.9,"Các bệnh tuyến mồ hôi, không điển hình",Các bệnh phần phụ của da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5679,L75,Bệnh tuyến mồ hôi bán hủy (nội tiết),Các bệnh phần phụ của da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5680,L75.0,Mồ hôi có mùi,Các bệnh phần phụ của da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5681,L75.1,Mồ hôi có màu,Các bệnh phần phụ của da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5682,L75.2,Rôm tuyến mồ hôi bán hủy,Các bệnh phần phụ của da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5683,L75.8,Các bệnh tuyến mồ hôi bán hủy khác,Các bệnh phần phụ của da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5684,L75.9,"Các bệnh tuyến mồ hôi bán hủy, không điển hình",Các bệnh phần phụ của da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5685,L80,Bạch biến,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5686,L81,Bệnh rối loạn sắc tố khác,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5687,L81.0,Tăng sắc tố sau viêm,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5688,L81.1,Rám má,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5689,L81.2,Tàn nhang,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5690,L81.3,Dát cà phê sữa,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5691,L81.4,Bệnh tăng sắc tố do melanin khác,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5692,L81.5,Bệnh da mất sắc tố chưa được phân loại ở phần khác,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5693,L81.6,Các bệnh khác do giảm sản xuất melanin,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5694,L81.7,Bệnh da xuất huyết tăng sắc tố,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5695,L81.8,Bệnh sắc tố đặc hiệu khác,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5696,L81.9,Bệnh sắc tố không đặc hiệu,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5697,L82,Dày sừng da dầu,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5698,L83,Bệnh gai đen,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5699,L84,Mắt cá và chai chân,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5700,L85,Dày thượng bì khác,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5701,L85.0,Bệnh da vảy cá mắc phải,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5702,L85.1,Bệnh dày sừng mắc phải [da dày] ở lòng bàn tay và bàn chân,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5703,L85.2,Dày sừng chấm (lòng bàn tay - bàn chân),Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5704,L85.3,Khô da,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5705,L85.8,Dày thượng bì đặc hiệu khác,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5706,L85.9,"Dày thượng bì, không điển hình",Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5707,L86,Dày sừng trong các bệnh đã được phân loại ở phần khác,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5708,L86*,Dày sừng trong các bệnh đã được phân loại ở phần khác,Các bệnh khác của da và tổ chức dưới da,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5709,M23.04,Kén (nang) sụn chêm dây chằng bên ngoài hoặc sừng trước của sụn chêm ngoài,Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5710,M23.05,Kén (nang) sụn chêm sừng sau của sụn chêm ngoài,Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5711,M23.06,Kén (nang) sụn chêm ngoài khác và không xác định,Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5712,M23.07,Kén (nang) sụn chêm dây chằng bao khớp,Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5713,M23.09,Kén (nang) sụn chêm dây chằng không đặc hiệu hoặc sụn chêm không đặc hiệu,Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5714,M23.1,Sụn chêm dạng đĩa (bẩm sinh),Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5715,M23.10,Sụn chêm dạng đĩa (bẩm sinh) nhiều vị trí,Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5716,M23.11,Sụn chêm dạng đĩa (bẩm sinh) dây chằng chéo sau hoặc sừng sau của sụn chêm trong,Bệnh khớp,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5717,F45.0,Rối loạn cơ thể hóa,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5718,F45.1,Rối loạn dạng cơ thể không biệt định,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5719,F45.2,Rối loạn nghi bệnh,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5720,F45.3,Loạn chức năng thần kinh tự trị dạng cơ thể,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5721,F45.4,Rối loạn đau dạng cơ thể dai dẳng,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5722,F45.8,Rối loạn dạng cơ thể khác,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5723,F45.9,"Rối loạn dạng cơ thể, không biệt định",Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5724,F48,Các rối loạn tâm căn khác,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5725,F48.0,Bệnh suy nhược thần kinh,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5726,F48.1,Hội chứng giải thể nhân cách-tri giác sai thực tại,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5727,F48.8,Rối loạn tâm căn biệt định khác,Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5728,F48.9,"Rối loạn tâm căn, không biệt định",Các rối loạn bệnh tâm căn có liên quan đến stress và rối loạn dạng cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5729,F50,Các rối loạn ăn uống,Hội chứng hành vi kết hợp với rối loạn sinh lý và nhân tố cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5730,F50.0,Chán ăn tâm thần,Hội chứng hành vi kết hợp với rối loạn sinh lý và nhân tố cơ thể,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
