nguồn,n đo,ký tự TB,ICD/1000cc,% file có ICD,% tiêu đề mục,% kết quả XN,% viết tắt lab,% token ***,license,ghi chú
TEST (BTC) — chuẩn đối chiếu,100.0,2038.0,2.1,94.0,81,30.0,8.0,30.0,—,đích cần khớp
mtsamples dịch VN (Apache-2.0),12.0,1470.0,2.0,91.0,83,25.0,0.0,8.0,Apache-2.0,khớp nhất; thiếu viết tắt lab
blog VN 752k (vietnamese_health_dataset),100.0,1176.0,1.1,,0,13.0,1.0,0.0,?,chỉ hỏi-đáp
VietnameseMedicalText 8.5k,100.0,3754.0,1.3,,2,32.0,2.0,0.0,?,bài giáo dục
vietnamese-medical-notes 18k,100.0,2551.0,0.9,,0,10.0,1.0,0.0,?,hội thoại
sinh từ bảng ICD của BTC,,,,100.0,100,,,,dữ liệu BTC,nhãn đúng 100%
